# time,X,Y,Z,id,intensity,distance
2081321668,0.000762,10.473962,-2.027832,4,8,10.670
2081321715,0.023732,7.769871,-2.070740,0,15,8.044
2081321719,0.029876,8.911539,-2.047702,2,5,9.146
2081321724,0.038208,10.466039,-2.026306,4,8,10.662
2081321726,0.173024,45.535731,3.980189,5,14,45.710
2081321770,0.051583,7.777464,-2.072811,0,15,8.052
2081321774,0.061925,8.944503,-2.055351,2,5,9.180
2081321779,0.075417,10.454057,-2.024016,4,8,10.650
2081321781,0.335089,45.530842,3.979840,5,7,45.706
2081321825,0.078594,7.763714,-2.069187,0,13,8.038
2081321830,0.093228,8.952027,-2.057150,2,5,9.188
2081321834,0.112034,10.465509,-2.026306,4,8,10.662
2081321837,0.494495,45.573225,3.983675,5,7,45.750
2081321880,0.105720,7.765324,-2.069705,0,15,8.040
2081321885,0.124075,8.932163,-2.052651,2,5,9.168
2081321890,0.148261,10.465059,-2.026306,4,8,10.662
2081321892,0.651402,45.535385,3.980538,5,14,45.714
2081321936,0.131634,7.774589,-2.072293,0,13,8.050
2081321940,0.153560,8.923909,-2.050852,2,5,9.160
2081321945,0.183375,10.488065,-2.030885,4,8,10.686
2081321947,0.803733,45.608674,3.987161,5,7,45.790
2081321991,0.157688,7.787630,-2.075917,0,18,8.064
2081321996,0.183292,8.917500,-2.049502,2,5,9.154
2081322000,0.218436,10.471684,-2.027832,4,8,10.670
2081322003,0.957954,45.589753,3.985767,5,14,45.774
2081322046,0.186184,7.785068,-2.075399,0,15,8.062
2081322051,0.216635,8.944043,-2.055801,2,5,9.182
2081322056,0.257297,10.490440,-2.031648,4,8,10.690
2081322058,1.125043,45.585935,3.985767,5,7,45.774
2081322102,0.214131,7.763091,-2.069705,0,15,8.040
2081322106,0.248688,8.921764,-2.050852,2,2,9.160
2081322111,0.294887,10.469810,-2.027832,4,8,10.670
2081322157,0.241348,7.766158,-2.070740,0,15,8.044
2081322162,0.279829,8.920842,-2.050852,2,5,9.160
2081322166,0.331431,10.468717,-2.027832,4,8,10.670
2081322189,0.215230,6.499447,-0.112810,14,1,6.504
2081322212,0.268789,7.774922,-2.073329,0,13,8.054
2081322217,0.311649,8.941236,-2.055801,2,5,9.182
2081322221,0.368785,10.494970,-2.033175,4,8,10.698
2081322244,0.237585,6.498668,-0.112810,14,1,6.504
2081322268,0.295322,7.775892,-2.073846,0,15,8.056
2081322272,0.341854,8.934282,-2.054451,2,5,9.176
2081322277,0.404501,10.493654,-2.033175,4,8,10.698
2081322300,0.259702,6.497822,-0.112810,14,1,6.504
2081322323,0.322024,7.780633,-2.075399,0,13,8.062
2081322327,0.372324,8.933064,-2.054451,2,5,9.176
2081322332,0.440859,10.503980,-2.035464,4,8,10.710
2081322355,0.285269,6.568807,-0.114067,14,1,6.576
2081322378,0.348489,7.764022,-2.071258,0,13,8.046
2081322383,0.404735,8.958964,-2.060750,2,5,9.204
2081322387,0.477522,10.502377,-2.035464,4,8,10.710
2081322390,2.923582,64.094273,5.609653,5,24,64.406
2081322410,0.309509,6.595736,-0.114556,14,1,6.604
2081322433,0.375215,7.755040,-2.069187,0,13,8.038
2081322438,0.435466,8.947768,-2.058500,2,5,9.194
2081322443,0.513643,10.492810,-2.033938,4,8,10.702
2081322489,0.402705,7.774940,-2.074882,0,11,8.060
2081322493,0.465004,8.928719,-2.054451,2,2,9.176
2081322498,0.549146,10.487080,-2.033175,4,8,10.698
2081322507,0.319196,6.030209,-0.736353,8,1,6.084
2081322521,0.356140,6.621419,-0.115044,14,1,6.632
2081322544,0.430335,7.794743,-2.080576,0,13,8.082
2081322549,0.494958,8.919302,-2.052651,2,5,9.168
2081322553,0.585927,10.504752,-2.036991,4,8,10.718
2081322599,0.455618,7.772019,-2.074882,0,13,8.060
2081322604,0.526227,8.933129,-2.056250,2,5,9.184
2081322609,0.621676,10.502697,-2.036991,4,4,10.718
2081322618,0.360235,6.027896,-0.736353,8,1,6.084
2081322632,0.393459,6.491096,-0.112810,14,1,6.504
2081322655,0.483662,7.774195,-2.075917,0,11,8.064
2081322659,0.559532,8.950630,-2.060750,2,5,9.204
2081322664,0.658570,10.484711,-2.033938,4,8,10.702
2081322673,0.382150,6.026547,-0.736353,8,1,6.084
2081322687,0.410925,6.389825,-0.111065,14,1,6.404
2081322710,0.510713,7.760849,-2.072811,0,15,8.052
2081322714,0.591424,8.946626,-2.060300,2,5,9.202
2081322719,0.696860,10.494041,-2.036228,4,8,10.714
2081322728,0.403710,6.025141,-0.736353,8,1,6.084
2081322765,0.538745,7.762826,-2.073846,0,11,8.056
2081322770,0.622352,8.930854,-2.057150,2,5,9.188
2081322774,0.735468,10.511087,-2.040044,4,8,10.734
2081322820,0.566425,7.778288,-2.078505,0,13,8.074
2081322825,0.653596,8.940345,-2.059850,2,2,9.200
2081322827,3.325204,45.395913,2.383273,3,7,45.580
2081322830,0.772386,10.524187,-2.043097,4,8,10.750
2081322832,3.336515,45.373703,3.976703,5,7,45.670
2081322837,3.351292,45.398610,5.584316,7,9,45.864
2081322876,0.592013,7.764758,-2.075399,0,13,8.062
2081322880,0.683639,8.932235,-2.058500,2,5,9.194
2081322885,0.804443,10.470591,-2.033175,4,8,10.698
